Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
50,40,3600,2.0416665,2020-01-02T13:50:41
40,60,10800,2.5666666,2020-01-03T15:50:52
50,40,3600,2.0416665,2020-01-04T19:50:13
40,60,10800,2.5666666,2020-01-04T23:10:16
50,40,3600,2.0416665,2020-01-05T13:40:28
60,20,7200,1.05,2020-01-06T19:00:05
50,40,3600,2.0416665,2020-01-07T07:50:58
50,60,3600,3.208333,2020-01-07T10:50:01
60,20,7200,1.05,2020-01-07T14:50:44
50,60,3600,3.208333,2020-01-09T23:30:33
50,60,3600,3.208333,2020-01-10T15:00:17
50,40,3600,2.0416665,2020-01-10T20:50:08
60,20,7200,1.05,2020-01-13T17:40:53
50,60,3600,3.208333,2020-01-13T21:50:23
60,20,7200,1.05,2020-01-14T14:50:03
60,20,7200,1.05,2020-01-15T08:00:40
60,20,7200,1.05,2020-01-15T14:10:40
60,20,7200,1.05,2020-01-15T21:30:29
40,60,10800,2.5666666,2020-01-17T20:30:31
60,20,7200,1.05,2020-01-18T06:00:32
60,20,7200,1.05,2020-01-18T19:20:55
50,40,3600,2.0416665,2020-01-21T19:40:35
50,40,3600,2.0416665,2020-01-23T11:40:51
40,60,10800,2.5666666,2020-01-23T19:40:56
50,60,3600,3.208333,2020-01-24T14:30:27
50,60,3600,3.208333,2020-01-26T14:10:27
50,40,3600,2.0416665,2020-01-26T17:00:14
40,60,10800,2.5666666,2020-01-27T20:00:09
50,60,3600,3.208333,2020-01-30T05:00:10
60,20,7200,1.05,2020-01-31T14:00:52
50,40,3600,2.1,2020-02-01T23:10:53
50,40,3600,2.1,2020-02-02T18:40:29
40,60,10800,2.6133332,2020-02-02T21:10:52
50,60,3600,3.2666664,2020-02-03T00:40:19
50,40,3600,2.1,2020-02-03T14:20:30
50,60,3600,3.2666664,2020-02-03T16:20:40
40,60,10800,2.6133332,2020-02-04T20:40:12
50,60,3600,3.2666664,2020-02-05T18:50:41
50,40,3600,2.1,2020-02-05T21:30:17
40,60,10800,2.6133332,2020-02-06T14:50:09
60,20,7200,1.1199999,2020-02-09T04:10:09
50,40,3600,2.1,2020-02-09T14:10:25
50,40,3600,2.1,2020-02-10T14:10:51
