,Consumption,Temp,FlowTime,Power_Consumption,TimeStamp,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
596,15,60,10800,0.9624999,2020-01-01 01:40:23,,,,
4439,15,60,10800,0.9624999,2020-01-01 01:40:23,596.0,,,
4440,15,60,10800,0.9624999,2020-01-01 01:40:23,4441.0,4440.0,596.0,
4441,15,60,10800,0.9624999,2020-01-01 01:40:23,4440.0,4439.0,5035.0,596.0
4442,15,60,10800,0.9624999,2020-01-01 01:40:23,4439.0,596.0,,
949,15,60,10800,0.9624999,2020-01-01 04:00:41,,,,
4443,15,60,10800,0.9624999,2020-01-01 04:00:41,4444.0,4441.0,5388.0,949.0
4444,15,60,10800,0.9624999,2020-01-01 04:00:41,949.0,,,
4445,15,60,10800,0.9624999,2020-01-01 04:00:41,4443.0,4442.0,949.0,
4446,15,60,10800,0.9624999,2020-01-01 04:00:41,4442.0,949.0,,
4450,15,60,10800,0.9624999,2020-01-01 04:30:42,4447.0,4443.0,13163.0,
4448,15,60,10800,0.9624999,2020-01-01 04:30:42,29391.0,,,
4447,15,60,10800,0.9624999,2020-01-01 04:30:42,4446.0,4444.0,9488.0,5049.0
4449,15,60,10800,0.9624999,2020-01-01 04:30:42,4445.0,21277.0,,
37505,15,60,10800,0.9624999,2020-01-01 04:30:42,,,,
40092,15,60,10800,0.9624999,2020-01-01 06:10:46,,,,
4451,15,60,10800,0.9624999,2020-01-01 06:10:46,4449.0,23864.0,,
4452,15,60,10800,0.9624999,2020-01-01 06:10:46,4450.0,4445.0,12075.0,7636.0
4453,15,60,10800,0.9624999,2020-01-01 06:10:46,31978.0,,,
4454,15,60,10800,0.9624999,2020-01-01 06:10:46,4448.0,4446.0,15750.0,
4458,15,60,10800,0.9624999,2020-01-01 07:20:37,4451.0,23381.0,,
4457,15,60,10800,0.9624999,2020-01-01 07:20:37,31495.0,,,
4456,15,60,10800,0.9624999,2020-01-01 07:20:37,4453.0,4448.0,11592.0,7153.0
4455,15,60,10800,0.9624999,2020-01-01 07:20:37,4452.0,4447.0,15267.0,
39609,15,60,10800,0.9624999,2020-01-01 07:20:37,,,,
4459,15,60,10800,0.9624999,2020-01-01 08:00:46,4455.0,20667.0,,
4460,15,60,10800,0.9624999,2020-01-01 08:00:46,4456.0,4450.0,8878.0,4439.0
4461,15,60,10800,0.9624999,2020-01-01 08:00:46,4454.0,4449.0,12553.0,
4462,15,60,10800,0.9624999,2020-01-01 08:00:46,28781.0,,,
36895,15,60,10800,0.9624999,2020-01-01 08:00:46,,,,
4466,15,60,10800,0.9624999,2020-01-01 09:30:54,4457.0,4451.0,8539.0,4100.0
4465,15,60,10800,0.9624999,2020-01-01 09:30:54,4458.0,4452.0,4100.0,
4463,15,60,10800,0.9624999,2020-01-01 09:30:54,4100.0,,,
4464,15,60,10800,0.9624999,2020-01-01 09:30:54,4459.0,4100.0,,
4100,15,60,10800,0.9624999,2020-01-01 09:30:54,,,,
4470,15,60,10800,0.9624999,2020-01-01 10:00:51,30348.0,,,
38462,15,60,10800,0.9624999,2020-01-01 10:00:51,,,,
4468,15,60,10800,0.9624999,2020-01-01 10:00:51,4460.0,4453.0,14120.0,
4467,15,60,10800,0.9624999,2020-01-01 10:00:51,4462.0,4454.0,10445.0,6006.0
4469,15,60,10800,0.9624999,2020-01-01 10:00:51,4461.0,22234.0,,
4471,15,60,10800,0.9624999,2020-01-01 12:40:57,4465.0,4455.0,8879.0,4440.0
4472,15,60,10800,0.9624999,2020-01-01 12:40:57,28782.0,,,
4473,15,60,10800,0.9624999,2020-01-01 12:40:57,4463.0,4456.0,12554.0,
4474,15,60,10800,0.9624999,2020-01-01 12:40:57,4464.0,20668.0,,
36896,15,60,10800,0.9624999,2020-01-01 12:40:57,,,,
38463,15,60,10800,0.9624999,2020-01-01 13:50:55,,,,
4476,15,60,10800,0.9624999,2020-01-01 13:50:55,30349.0,,,
4477,15,60,10800,0.9624999,2020-01-01 13:50:55,4466.0,4457.0,14121.0,
4478,15,60,10800,0.9624999,2020-01-01 13:50:55,4467.0,4458.0,10446.0,6007.0
4475,15,60,10800,0.9624999,2020-01-01 13:50:55,4468.0,22235.0,,
1439,15,60,10800,0.9624999,2020-01-01 14:10:21,,,,
4481,15,60,10800,0.9624999,2020-01-01 14:10:21,4469.0,1439.0,,
4482,15,60,10800,0.9624999,2020-01-01 14:10:21,1439.0,,,
4480,15,60,10800,0.9624999,2020-01-01 14:10:21,4470.0,4459.0,1439.0,
4479,15,60,10800,0.9624999,2020-01-01 14:10:21,4471.0,4460.0,5878.0,1439.0
4486,15,60,10800,0.9624999,2020-01-01 14:10:27,4474.0,4462.0,7477.0,3038.0
4484,15,60,10800,0.9624999,2020-01-01 14:10:27,4472.0,4461.0,3038.0,
4483,15,60,10800,0.9624999,2020-01-01 14:10:27,3038.0,,,
4485,15,60,10800,0.9624999,2020-01-01 14:10:27,4473.0,3038.0,,
3038,15,60,10800,0.9624999,2020-01-01 14:10:27,,,,
4487,15,60,10800,0.9624999,2020-01-01 16:00:03,4477.0,0.0,,
4488,15,60,10800,0.9624999,2020-01-01 16:00:03,4476.0,4464.0,0.0,
4489,15,60,10800,0.9624999,2020-01-01 16:00:03,0.0,,,
4490,15,60,10800,0.9624999,2020-01-01 16:00:03,4475.0,4463.0,4439.0,0.0
0,15,60,10800,0.9624999,2020-01-01 16:00:03,,,,
39174,15,60,10800,0.9624999,2020-01-01 16:20:03,,,,
4491,15,60,10800,0.9624999,2020-01-01 16:20:03,4478.0,4466.0,11157.0,6718.0
4492,15,60,10800,0.9624999,2020-01-01 16:20:03,4479.0,4465.0,14832.0,
4493,15,60,10800,0.9624999,2020-01-01 16:20:03,4480.0,22946.0,,
4494,15,60,10800,0.9624999,2020-01-01 16:20:03,31060.0,,,
4498,15,60,10800,0.9624999,2020-01-01 16:40:34,4481.0,4101.0,,
4497,15,60,10800,0.9624999,2020-01-01 16:40:34,4483.0,4468.0,8540.0,4101.0
4496,15,60,10800,0.9624999,2020-01-01 16:40:34,4101.0,,,
4495,15,60,10800,0.9624999,2020-01-01 16:40:34,4482.0,4467.0,4101.0,
4101,15,60,10800,0.9624999,2020-01-01 16:40:34,,,,
38109,15,60,10800,0.9624999,2020-01-01 17:20:39,,,,
4499,15,60,10800,0.9624999,2020-01-01 17:20:39,29995.0,,,
4500,15,60,10800,0.9624999,2020-01-01 17:20:39,4484.0,21881.0,,
4501,15,60,10800,0.9624999,2020-01-01 17:20:39,4485.0,4470.0,10092.0,5653.0
4502,15,60,10800,0.9624999,2020-01-01 17:20:39,4486.0,4469.0,13767.0,
4506,15,60,10800,0.9624999,2020-01-01 17:20:48,4487.0,4472.0,10447.0,6008.0
4505,15,60,10800,0.9624999,2020-01-01 17:20:48,4488.0,22236.0,,
4504,15,60,10800,0.9624999,2020-01-01 17:20:48,4489.0,4471.0,14122.0,
38464,15,60,10800,0.9624999,2020-01-01 17:20:48,,,,
4503,15,60,10800,0.9624999,2020-01-01 17:20:48,30350.0,,,
1814,15,60,10800,0.9624999,2020-01-01 18:20:50,,,,
4507,15,60,10800,0.9624999,2020-01-01 18:20:50,4490.0,1814.0,,
4508,15,60,10800,0.9624999,2020-01-01 18:20:50,1814.0,,,
4509,15,60,10800,0.9624999,2020-01-01 18:20:50,4492.0,4474.0,6253.0,1814.0
4510,15,60,10800,0.9624999,2020-01-01 18:20:50,4491.0,4473.0,1814.0,
4511,15,60,10800,0.9624999,2020-01-01 18:50:33,3039.0,,,
4512,15,60,10800,0.9624999,2020-01-01 18:50:33,4495.0,4476.0,3039.0,
4513,15,60,10800,0.9624999,2020-01-01 18:50:33,4494.0,3039.0,,
4514,15,60,10800,0.9624999,2020-01-01 18:50:33,4493.0,4475.0,7478.0,3039.0
3039,15,60,10800,0.9624999,2020-01-01 18:50:33,,,,
